c0,c1,c2,c3
2164072.8566676541,13943573.347385569,1663624.1155932632,8009287.3550310526
2161706.6732019722,13928624.730156826,1650976.4507754697,7984178.9094241243
2159344.6686697453,13913700.864803148,1638611.916415571,7959126.6242612191
2156987.4004086284,13898806.74362497,1627378.1558371093,7934138.5724993395
2154634.5613477933,13883941.145750154,1616947.3229135745,7909213.641878102
2152285.9190663295,13869103.102349011,1608190.8270688592,7884354.8468496148
2149942.2190652778,13854295.480330838,1603773.7927646092,7859559.6065721232
2147602.1266838964,13839513.178317826,1600807.511587962,7834827.666466102
2145266.5841177674,13824759.157398446,1597840.0356518747,7810159.8872775352
2142935.4740678342,13810034.946883272,1594884.2655086941,7785558.0287569351
2140608.519652986,13795336.319733413,1591935.1129056057,7761014.8897323757
2138285.9817682975,13780668.16167043,1588985.8022278764,7736543.0670401622
2135967.7314119725,13766024.803673433,1586040.2550361787,7712130.345822908
2133653.6029793271,13751410.248747466,1583106.9159375841,7687782.1292012986
2131343.7093532626,13736823.292319989,1580179.4855939343,7663499.9091274031
2129038.055704413,13722262.252769835,1577250.8208573991,7639277.4831439964
2126736.5762703838,13707729.212527266,1574332.9322070994,7615121.6883978406
2124439.3122674013,13693657.115866208,1571417.0314929236,7591043.4655568097
2122147.3187414473,13683881.846265737,1608572.4708897523,7609494.4246567637
2163893.3763375492,14014140.104965869,1791311.821700037,8389265.9922572263
2152610.5831497861,13922229.353445411,1771716.2987589899,8317462.3062131982
2139338.007969833,13830684.50902601,1744528.5534771541,8185471.5498454748
2127401.9441469987,13747265.795236735,1720776.1596800494,8057213.2880110247
2116760.2105685747,13684242.594461856,1694891.1812053497,7934347.485045962
2114466.049509231,13640732.266293019,1674973.6258750581,7825062.6879391121
2112175.4491031468,13626308.344714796,1655878.9632210848,7725991.1704439856
2109889.2773693874,13611851.244829925,1639437.3159334131,7641603.3053102475
2107607.2560546263,13597394.811105821,1623393.7766110655,7557279.0751828644
2105329.2103595105,13582961.861892592,1608533.0479592914,7480301.6903207004
2103055.2863709903,13568563.414772442,1594994.3971650428,7432454.7717206441
2100785.6862721317,13554189.722857498,1582455.8489569146,7407970.9174079988
2098520.0828780029,13539842.153688466,1570904.2387182387,7384833.3100147434
2096258.4975235958,13525521.728965564,1560457.5676741851,7361754.2416167539
2094001.0200627423,13511232.474612117,1550846.4665700693,7338750.1948770955
2091748.5200014801,13498938.951968031,1555212.070291559,4700049.3364735693
2089864.2527421345,13519522.435928704,1596171.8826912527,2153747.2244403213
2087713.3506894908,13486182.267554047,1583541.1409329057,1959834.7481318265
2085470.6807402119,13467386.431113971,1571469.5328367772,1892226.8719234467
2083259.8118150742,13453184.075994093,1564298.9619857662,1880046.3734054863
2081050.7220653158,13439796.90197413,1553295.8910652397,1940353.4690852612
2078823.689374222,13425617.996365724,1544741.7689711638,1885654.0283220708
2077144.657820004,13425161.248144327,1615740.2477463773,2601050.4566271305
2075180.6087577255,13539626.609100752,1621835.8466658185,2982944.846298784
2083533.8373536931,13730044.687662825,1658912.4635177106,3879436.9219911993
2073621.9997938229,13635327.071638534,1642993.077923049,3504035.6665721387
2070877.2856525278,13544601.279546274,1622367.852979965,3136036.8954764903
2068666.7694066321,13466429.902324831,1624025.4743018376,2800774.1475993097
2066445.6570542504,13408777.824767498,1607799.8156470018,2517487.3045778275
2064237.0572860339,13381445.048857335,1606046.301220129,2258893.0356880128
2062026.3148338862,13359287.988974225,1606272.5611509376,2046662.3534107357
2059926.9173423823,13341904.413031358,1590617.2770786241,1996200.3016125411
2057725.298620827,13327765.441450337,1575823.869436011,1981560.8122231066
2055525.74612809,13313654.529838871,1561332.7433848919,1967123.2016554773
2053329.5329302091,13299560.562469039,1548790.3369638226,1952659.9817918837
2051136.9833801289,13285500.417809695,1537359.0158838702,1938330.6263681203
2048957.496250812,13271455.474103376,1526473.7460203266,1924087.9263679534
2046791.7567566205,13257450.809216108,1516645.8346902756,1909939.4226303697
2044610.6739609297,13243459.704957519,1510233.7568715715,1895857.7339813709
2042432.9726033905,13229488.841266429,1508067.9274978803,1885018.7188611627
2040302.5435955401,13215689.770601101,1503665.3040936696,1871518.1903828084
2038134.6812597278,13202158.727019759,1520148.506775046,1873178.8645366877
2035970.1569945852,13188298.349821644,1510792.4675509909,1859954.4300028384
2033808.2192489868,13174446.96465371,1500927.4722119814,1846312.8137593865
2031648.2911371035,13160599.21521032,1495786.0699448544,1832650.7601021081
2029492.2426152644,13146770.814689247,1492749.4016597115,1818929.8020450771
2027340.254594187,13132979.987205012,1490018.2810498555,1805581.7376022339
2025194.3161358421,13119220.072587842,1487235.1726817633,1793361.8817115128
2023050.2963181615,13105533.069937047,1489881.0065036989,1781101.2856720239
2020912.663833878,13092933.122239191,1492007.5115929605,1786125.1768841594
2018779.6914657541,13079276.47642811,1482914.683373577,1770579.3261621445
2016669.9683465695,13065582.891133584,1479152.4789068191,1757414.1144284457
2014539.7843700247,13051946.793066289,1476371.512006396,1744476.6712787449
2012411.3810346371,13038459.403761251,1473557.8348005572,1731429.9539141059
2010295.3702224037,13026074.005112389,1471235.3393716516,1734021.9120956063
2008201.7407441395,13012499.610505737,1468521.5121518422,1719653.2202204615
2006086.7839381213,12998935.629171137,1465812.2034661276,1707002.8363216817
2004018.9573290325,13042141.845142601,1470829.074623669,1743323.7535486966
2002072.6901075598,12989265.593858672,1464100.1330930055,1706786.3258626312
